Feature,Importance,Absolute
PercChangeRevenues,9.139244266603034,9.139244266603034
PercChangeMinutes,-4.744000499154952,4.744000499154952
AdjustmentsToCreditRating,-4.216306911421384,4.216306911421384
OverageMinutes,3.95232424986264,3.95232424986264
UniqueSubs,3.181319037565433,3.181319037565433
CustomerCareCalls,-2.6989193637470477,2.6989193637470477
CurrentEquipmentDays,2.440293491277558,2.440293491277558
MonthlyMinutes,-2.4003163128553853,2.4003163128553853
ServiceArea,2.2881556299937036,2.2881556299937036
ThreewayCalls,-2.1746743474575787,2.1746743474575787
RoamingCalls,2.0040876324001835,2.0040876324001835
MonthlyRevenue,1.9212787872099766,1.9212787872099766
Handsets,1.7811775299591914,1.7811775299591914
ActiveSubs,-1.5246689379996576,1.5246689379996576
DroppedCalls,1.3909224999285286,1.3909224999285286
PeakCallsInOut,-1.3890497873198089,1.3890497873198089
PrizmCode_Suburban,-1.3675353834564898,1.3675353834564898
PrizmCode_Other,-1.3298141586287182,1.3298141586287182
TotalRecurringCharge,-1.2993048933403495,1.2993048933403495
PrizmCode_Town,-1.28567472565334,1.28567472565334
BlockedCalls,1.2752055572162462,1.2752055572162462
PrizmCode_Rural,-1.1570484460992596,1.1570484460992596
CallWaitingCalls,-1.0885775253537107,1.0885775253537107
MonthsInService,-1.016051233954871,1.016051233954871
ReceivedCalls,0.9411468312295874,0.9411468312295874
UnansweredCalls,0.8990024958801037,0.8990024958801037
InboundCalls,-0.8556339322986167,0.8556339322986167
OutboundCalls,0.7059561463681377,0.7059561463681377
MadeCallToRetentionTeam,0.6781509916251943,0.6781509916251943
HandsetPrice,0.43264818062643856,0.43264818062643856
RetentionOffersAccepted,-0.42618020904657145,0.42618020904657145
RetentionCalls,0.39599736652215906,0.39599736652215906
AgeHH1,-0.3715043868351953,0.3715043868351953
CreditRating,-0.3375565355164792,0.3375565355164792
HandsetRefurbished,0.27624366659528976,0.27624366659528976
ReferralsMadeBySubscriber,-0.2665216665238415,0.2665216665238415
Occupation_Professional,-0.19402259295920035,0.19402259295920035
Occupation_Retired,-0.17295656879103902,0.17295656879103902
Occupation_Self,-0.16231782179274842,0.16231782179274842
ChildrenInHH,0.13419769795893774,0.13419769795893774
OwnsMotorcycle,0.13360984260950823,0.13360984260950823
Occupation_Other,-0.13333114544718372,0.13333114544718372
RespondsToMailOffers,-0.119925116949518,0.119925116949518
IncomeGroup,-0.11894444097148929,0.11894444097148929
HandsetWebCapable,-0.11394111728225742,0.11394111728225742
HasCreditCard,0.09023665376144112,0.09023665376144112
NotNewCellphoneUser,0.08870645399424773,0.08870645399424773
Occupation_Crafts,-0.08047614094187067,0.08047614094187067
MaritalStatus,0.07772924091106967,0.07772924091106967
AgeHH2,-0.07159231402851675,0.07159231402851675
DroppedBlockedCalls,0.0,0.0
