Feature,Importance
CurrentEquipmentDays,0.25284656369085856
MonthsInService,0.23588431526249948
ServiceArea,0.15751609118471072
MonthlyMinutes,0.08942195717866794
PercChangeMinutes,0.0639552454165504
TotalRecurringCharge,0.046456377236168245
PeakCallsInOut,0.02240547046374296
PercChangeRevenues,0.02176894234290124
AgeHH1,0.02144745270590126
MonthlyRevenue,0.021230927376797572
OffPeakCallsInOut,0.019598297766932258
DroppedBlockedCalls,0.011610788767708971
UnansweredCalls,0.010941700610953049
OutboundCalls,0.009325316538062916
ReceivedCalls,0.00810407771385122
DroppedCalls,0.007486475743693308
