Feature,Importance
PercChangeMinutes,2580.0
MonthlyMinutes,2444.0
ServiceArea,2211.0
CurrentEquipmentDays,2072.0
MonthsInService,1747.0
PercChangeRevenues,1713.0
MonthlyRevenue,1581.0
TotalRecurringCharge,1555.0
OffPeakCallsInOut,1335.0
PeakCallsInOut,1217.0
AgeHH1,1069.0
OverageMinutes,1053.0
InboundCalls,1000.0
BlockedCalls,991.0
DroppedCalls,940.0
DroppedBlockedCalls,908.0
CreditRating,789.0
RoamingCalls,773.0
CustomerCareCalls,726.0
IncomeGroup,623.0
CallWaitingCalls,570.0
AgeHH2,535.0
UniqueSubs,522.0
HandsetPrice,513.0
HandsetRefurbished,262.0
RetentionCalls,254.0
HandsetWebCapable,203.0
ChildrenInHH,180.0
RespondsToMailOffers,180.0
ReferralsMadeBySubscriber,80.0
