Feature,Importance,Absolute
PercChangeRevenues,8.913193357288545,8.913193357288545
PercChangeMinutes,-4.696569516378486,4.696569516378486
AdjustmentsToCreditRating,-4.190990420796345,4.190990420796345
OverageMinutes,4.0081561375354005,4.0081561375354005
UniqueSubs,3.1751632412826485,3.1751632412826485
CustomerCareCalls,-2.7124330018492713,2.7124330018492713
CurrentEquipmentDays,2.448895195293742,2.448895195293742
MonthlyMinutes,-2.4108159319960034,2.4108159319960034
ServiceArea,2.295164257039777,2.295164257039777
ThreewayCalls,-2.1510878521496313,2.1510878521496313
RoamingCalls,1.99189941170104,1.99189941170104
MonthlyRevenue,1.8981865708268877,1.8981865708268877
Handsets,1.7540602220914856,1.7540602220914856
ActiveSubs,-1.5142158121315887,1.5142158121315887
DroppedCalls,1.4045043029417998,1.4045043029417998
PeakCallsInOut,-1.404102050978068,1.404102050978068
TotalRecurringCharge,-1.2784606295437535,1.2784606295437535
Occupation_Professional,-1.2554179669607939,1.2554179669607939
BlockedCalls,1.2547043832698601,1.2547043832698601
Occupation_Retired,-1.230212243757695,1.230212243757695
Occupation_Self,-1.2205737627996507,1.2205737627996507
Occupation_Other,-1.196382637867656,1.196382637867656
Occupation_Crafts,-1.1486103672287882,1.1486103672287882
CallWaitingCalls,-1.1465950512539542,1.1465950512539542
Occupation_Student,-1.0956321254857557,1.0956321254857557
Occupation_Clerical,-1.0509863204379344,1.0509863204379344
Occupation_Homemaker,-1.0409849039478005,1.0409849039478005
MonthsInService,-1.0068177883801641,1.0068177883801641
ReceivedCalls,0.917687787409267,0.917687787409267
InboundCalls,-0.8730058822131321,0.8730058822131321
UnansweredCalls,0.8624784732490439,0.8624784732490439
OutboundCalls,0.6828281227724708,0.6828281227724708
MadeCallToRetentionTeam,0.6802692511332342,0.6802692511332342
PrizmCode_Suburban,-0.4835806249920533,0.4835806249920533
PrizmCode_Other,-0.4450687625587133,0.4450687625587133
HandsetPrice,0.43295083270308027,0.43295083270308027
RetentionOffersAccepted,-0.4140426369898146,0.4140426369898146
PrizmCode_Town,-0.4049999159271851,0.4049999159271851
RetentionCalls,0.3786115749723552,0.3786115749723552
AgeHH1,-0.37383969058236166,0.37383969058236166
CreditRating,-0.3379542421425362,0.3379542421425362
PrizmCode_Rural,-0.28067579207032395,0.28067579207032395
HandsetRefurbished,0.2769060950556056,0.2769060950556056
ReferralsMadeBySubscriber,-0.24928683271291882,0.24928683271291882
RespondsToMailOffers,-0.15588054819107816,0.15588054819107816
ChildrenInHH,0.12530686270162394,0.12530686270162394
IncomeGroup,-0.1157042238834957,0.1157042238834957
OwnsMotorcycle,0.1140356253889525,0.1140356253889525
HandsetWebCapable,-0.11311676303698742,0.11311676303698742
OffPeakCallsInOut,0.1085738753970497,0.1085738753970497
HasCreditCard,0.08931045114168576,0.08931045114168576
AgeHH2,-0.08388159579828293,0.08388159579828293
NotNewCellphoneUser,0.0779902217487343,0.0779902217487343
MaritalStatus,0.07442418733194993,0.07442418733194993
DirectorAssistedCalls,0.07203010641794899,0.07203010641794899
TruckOwner,0.061860241608685064,0.061860241608685064
NonUSTravel,-0.04466483836709893,0.04466483836709893
OptOutMailings,-0.040432283243477134,0.040432283243477134
NewCellphoneUser,-0.0377580826973972,0.0377580826973972
RVOwner,-0.03741148569446622,0.03741148569446622
BuysViaMailOrder,0.035982780757438694,0.035982780757438694
HandsetModels,-0.023520482033336055,0.023520482033336055
OwnsComputer,0.023023482488309252,0.023023482488309252
Homeownership,-0.007218922874378819,0.007218922874378819
DroppedBlockedCalls,0.0,0.0
CallForwardingCalls,0.0,0.0
