Feature,Importance
CurrentEquipmentDays,0.2374794222188616
MonthsInService,0.20612778789249533
ServiceArea,0.14133951740152045
MonthlyMinutes,0.08094958230036726
PercChangeMinutes,0.04146096378429576
TotalRecurringCharge,0.031675870120272794
MadeCallToRetentionTeam,0.021741435558740137
RetentionCalls,0.021653013347105884
Handsets,0.015786146694823245
AgeHH1,0.01411566881775287
PeakCallsInOut,0.01406722403193557
CreditRating,0.01321713591424453
OverageMinutes,0.012913713362003176
HandsetModels,0.011736832353707302
OffPeakCallsInOut,0.011259607246537549
HandsetWebCapable,0.011059738094692623
MonthlyRevenue,0.010762537452464156
HandsetRefurbished,0.010284320180767885
PercChangeRevenues,0.008872680948031219
UniqueSubs,0.00791863436391373
HandsetPrice,0.006522347824830047
ReceivedCalls,0.006343302334879214
OutboundCalls,0.005304290558754553
InboundCalls,0.004984458014095423
UnansweredCalls,0.004742367774529928
CustomerCareCalls,0.004726857795717385
IncomeGroup,0.004363536168699907
DroppedBlockedCalls,0.004337498199757078
AgeHH2,0.003778020250483167
BlockedCalls,0.0034570823876996283
RoamingCalls,0.0033790534619571305
DroppedCalls,0.0029919770476721074
CallWaitingCalls,0.002454989365011265
DirectorAssistedCalls,0.0021337802333612583
RespondsToMailOffers,0.002091017612519094
RetentionOffersAccepted,0.0018607088344418812
BuysViaMailOrder,0.0012357498940907465
ActiveSubs,0.0010657431612763806
ThreewayCalls,0.0010274616595742582
Homeownership,0.0008331954482890368
HasCreditCard,0.0008097388927451853
PrizmCode_Suburban,0.0007750158404916908
PrizmCode_Other,0.0006314456935745537
TruckOwner,0.0006172698751665303
NotNewCellphoneUser,0.0005717722510315619
PrizmCode_Rural,0.0005602796418975998
AdjustmentsToCreditRating,0.000534316542634497
ChildrenInHH,0.000514949820088178
PrizmCode_Town,0.0004982355580689628
NewCellphoneUser,0.0004829635991840355
MaritalStatus,0.0003475847744904631
Occupation_Professional,0.0002714553435805705
RVOwner,0.00026433174453397936
ReferralsMadeBySubscriber,0.00024304615931746072
Occupation_Other,0.0002001203544372277
OwnsComputer,0.00014604246605108987
NonUSTravel,0.00011962356486962966
Occupation_Retired,9.704987801083748e-05
OptOutMailings,8.564330793399107e-05
Occupation_Clerical,4.4007953318351554e-05
Occupation_Homemaker,4.0369743909170395e-05
Occupation_Crafts,3.688566597016171e-05
Occupation_Student,3.0112212726155917e-05
Occupation_Self,2.246900379567624e-05
CallForwardingCalls,0.0
OwnsMotorcycle,0.0
