Feature,Importance
PercChangeMinutes,1375.0
MonthsInService,1355.0
MonthlyMinutes,1301.0
ServiceArea,1187.0
CurrentEquipmentDays,1057.0
TotalRecurringCharge,933.0
PercChangeRevenues,835.0
MonthlyRevenue,634.0
AgeHH1,509.0
OverageMinutes,494.0
CreditRating,467.0
OffPeakCallsInOut,419.0
UniqueSubs,387.0
BlockedCalls,381.0
ReceivedCalls,370.0
PeakCallsInOut,362.0
DroppedCalls,360.0
RoamingCalls,355.0
CustomerCareCalls,349.0
DroppedBlockedCalls,348.0
InboundCalls,329.0
UnansweredCalls,325.0
OutboundCalls,293.0
IncomeGroup,259.0
HandsetPrice,259.0
CallWaitingCalls,230.0
RetentionCalls,201.0
ActiveSubs,189.0
Handsets,186.0
AgeHH2,179.0
HandsetRefurbished,175.0
DirectorAssistedCalls,159.0
ThreewayCalls,143.0
HandsetWebCapable,132.0
HandsetModels,95.0
ChildrenInHH,88.0
RespondsToMailOffers,85.0
MaritalStatus,83.0
AdjustmentsToCreditRating,76.0
PrizmCode_Suburban,69.0
NewCellphoneUser,57.0
NotNewCellphoneUser,55.0
Occupation_Professional,53.0
PrizmCode_Rural,49.0
TruckOwner,46.0
ReferralsMadeBySubscriber,45.0
MadeCallToRetentionTeam,43.0
PrizmCode_Town,38.0
BuysViaMailOrder,33.0
PrizmCode_Other,27.0
Homeownership,25.0
OwnsComputer,23.0
Occupation_Clerical,22.0
Occupation_Other,20.0
NonUSTravel,13.0
HasCreditCard,10.0
Occupation_Crafts,7.0
RVOwner,4.0
Occupation_Self,3.0
Occupation_Retired,3.0
OwnsMotorcycle,2.0
OptOutMailings,2.0
