Feature,Importance,Absolute
ServiceArea,2.280080305264652,2.280080305264652
UniqueSubs,1.7011333036442478,1.7011333036442478
CurrentEquipmentDays,1.5058104015869258,1.5058104015869258
TotalRecurringCharge,-1.4471995405116072,1.4471995405116072
MadeCallToRetentionTeam,0.8046843267938211,0.8046843267938211
Handsets,0.6765706290916401,0.6765706290916401
HandsetModels,0.42979479093262585,0.42979479093262585
AgeHH1,-0.41292169601528983,0.41292169601528983
RetentionOffersAccepted,-0.37431576628252033,0.37431576628252033
CreditRating,-0.2401689143261396,0.2401689143261396
CallWaitingCalls,0.1789503421300753,0.1789503421300753
PeakCallsInOut,0.1304251346657628,0.1304251346657628
IncomeGroup,-0.08915766826267106,0.08915766826267106
OptOutMailings,-0.06964192933675255,0.06964192933675255
PrizmCode_Suburban,-0.06732032297147601,0.06732032297147601
Occupation_Self,-0.04038144928834574,0.04038144928834574
OwnsComputer,0.0028274140068149127,0.0028274140068149127
