Feature,Importance,Absolute
ReferralsMadeBySubscriber,-15.130551101260137,15.130551101260137
CustomerCareCalls,-13.358335283232876,13.358335283232876
AdjustmentsToCreditRating,-11.877876139918143,11.877876139918143
PercChangeRevenues,9.747413077759104,9.747413077759104
PrizmCode_Rural,-8.155737094688611,8.155737094688611
PrizmCode_Town,-8.007420670036137,8.007420670036137
PrizmCode_Suburban,-7.8224957214735475,7.8224957214735475
PrizmCode_Other,-7.608391379721951,7.608391379721951
Occupation_Self,-6.606264631198731,6.606264631198731
Occupation_Homemaker,-6.536719571104809,6.536719571104809
Occupation_Crafts,-6.5356922909957795,6.5356922909957795
Occupation_Clerical,-6.51613736177969,6.51613736177969
Occupation_Student,-6.452916676798878,6.452916676798878
Occupation_Retired,-6.377183345797608,6.377183345797608
Occupation_Professional,-6.122311535546175,6.122311535546175
Occupation_Other,-5.932426859341447,5.932426859341447
PercChangeMinutes,-5.153756058861941,5.153756058861941
BlockedCalls,4.524127576955388,4.524127576955388
DroppedBlockedCalls,-3.1690378756825264,3.1690378756825264
ThreewayCalls,-3.1357149435055245,3.1357149435055245
Handsets,3.004555196298527,3.004555196298527
DroppedCalls,2.9749937353415614,2.9749937353415614
MonthlyRevenue,2.398400933388535,2.398400933388535
MonthlyMinutes,-2.291122585342807,2.291122585342807
UniqueSubs,2.2689425033341624,2.2689425033341624
ServiceArea,2.2276114194006107,2.2276114194006107
OverageMinutes,2.172316566142316,2.172316566142316
UnansweredCalls,2.1382174924019837,2.1382174924019837
CurrentEquipmentDays,2.094432017750539,2.094432017750539
RoamingCalls,1.9562552969974825,1.9562552969974825
PeakCallsInOut,-1.9397282886050353,1.9397282886050353
TotalRecurringCharge,-1.936755984392193,1.936755984392193
ActiveSubs,-1.7131660004190226,1.7131660004190226
DirectorAssistedCalls,-1.4563309911855722,1.4563309911855722
InboundCalls,-1.403080880492003,1.403080880492003
ReceivedCalls,1.1499702613121865,1.1499702613121865
AgeHH2,-1.1008612530727142,1.1008612530727142
CreditRating,-1.0937165382386929,1.0937165382386929
HandsetModels,0.9709995838154648,0.9709995838154648
OutboundCalls,0.8949183485441101,0.8949183485441101
OffPeakCallsInOut,0.8669026104860345,0.8669026104860345
OptOutMailings,-0.6360499671762478,0.6360499671762478
NewCellphoneUser,-0.6184568476076894,0.6184568476076894
NonUSTravel,-0.5753866900523884,0.5753866900523884
NotNewCellphoneUser,-0.5621591540731727,0.5621591540731727
MaritalStatus,0.5368580326062825,0.5368580326062825
CallForwardingCalls,-0.5191574683624025,0.5191574683624025
MonthsInService,-0.48531037437460717,0.48531037437460717
RVOwner,-0.41010126468315417,0.41010126468315417
OwnsMotorcycle,-0.25669116407580195,0.25669116407580195
HasCreditCard,0.25039991715857396,0.25039991715857396
HandsetWebCapable,0.2419010343709587,0.2419010343709587
IncomeGroup,-0.22802059436858244,0.22802059436858244
Homeownership,0.22183867724258022,0.22183867724258022
RetentionOffersAccepted,0.21807496411158417,0.21807496411158417
HandsetPrice,0.1851013556564774,0.1851013556564774
RespondsToMailOffers,-0.15185920835821887,0.15185920835821887
BuysViaMailOrder,0.14366063227656595,0.14366063227656595
