Feature,Importance,Absolute
CustomerCareCalls,0.21038095253441413,0.21038095253441413
MonthsInService,0.17204078162072564,0.17204078162072564
CurrentEquipmentDays,0.104600776162589,0.104600776162589
DirectorAssistedCalls,0.09710271163233444,0.09710271163233444
RoamingCalls,0.09561947737284736,0.09561947737284736
OverageMinutes,0.06387885319678642,0.06387885319678642
ServiceArea,0.05582432076232821,0.05582432076232821
BlockedCalls,0.04603417744007052,0.04603417744007052
TotalRecurringCharge,0.044725801980909814,0.044725801980909814
MonthlyMinutes,0.019694604785842947,0.019694604785842947
CallWaitingCalls,0.01873726169687693,0.01873726169687693
DroppedCalls,0.011797926312308697,0.011797926312308697
PercChangeMinutes,0.010993855791818715,0.010993855791818715
PeakCallsInOut,0.006994110593263573,0.006994110593263573
ReceivedCalls,0.006495419364766371,0.006495419364766371
DroppedBlockedCalls,0.005977448847121488,0.005977448847121488
OffPeakCallsInOut,0.005727635189060721,0.005727635189060721
AgeHH1,0.00571582173945247,0.00571582173945247
MonthlyRevenue,0.005025335869802104,0.005025335869802104
UnansweredCalls,0.004987082731838379,0.004987082731838379
OutboundCalls,0.004719158847893229,0.004719158847893229
PercChangeRevenues,0.0029264855269488708,0.0029264855269488708
