Feature,Importance,Absolute
CustomerCareCalls,0.1039858,0.1039858
DirectorAssistedCalls,0.07265721,0.07265721
CreditRating,0.05191903,0.05191903
NewCellphoneUser,0.046368416,0.046368416
ThreewayCalls,0.043159246,0.043159246
MonthsInService,0.04264902,0.04264902
RoamingCalls,0.042345617,0.042345617
CurrentEquipmentDays,0.040950432,0.040950432
BlockedCalls,0.03426751,0.03426751
CallWaitingCalls,0.033518456,0.033518456
OverageMinutes,0.033014845,0.033014845
PrizmCode_Town,0.030997852,0.030997852
Handsets,0.029040413,0.029040413
NotNewCellphoneUser,0.028401442,0.028401442
ServiceArea,0.023693267,0.023693267
TruckOwner,0.023404436,0.023404436
MaritalStatus,0.02329302,0.02329302
TotalRecurringCharge,0.02305291,0.02305291
NonUSTravel,0.022864666,0.022864666
RVOwner,0.020148395,0.020148395
ReferralsMadeBySubscriber,0.017483646,0.017483646
Homeownership,0.015769541,0.015769541
AgeHH2,0.015031921,0.015031921
AdjustmentsToCreditRating,0.014892876,0.014892876
Occupation_Professional,0.014206559,0.014206559
DroppedCalls,0.014033644,0.014033644
HandsetModels,0.01270017,0.01270017
UniqueSubs,0.011262568,0.011262568
MonthlyMinutes,0.0104035,0.0104035
Occupation_Other,0.01040311,0.01040311
PercChangeMinutes,0.008925792,0.008925792
PrizmCode_Rural,0.008799144,0.008799144
HasCreditCard,0.008323773,0.008323773
OutboundCalls,0.007737977,0.007737977
IncomeGroup,0.0075944015,0.0075944015
OffPeakCallsInOut,0.007459527,0.007459527
PeakCallsInOut,0.00677982,0.00677982
AgeHH1,0.0066987206,0.0066987206
DroppedBlockedCalls,0.0060939235,0.0060939235
InboundCalls,0.0060522393,0.0060522393
PercChangeRevenues,0.0053210156,0.0053210156
PrizmCode_Suburban,0.0044753156,0.0044753156
ActiveSubs,0.004388311,0.004388311
RetentionCalls,0.0034408802,0.0034408802
PrizmCode_Other,0.001989695,0.001989695
OptOutMailings,0.0,0.0
Occupation_Self,0.0,0.0
