Feature,Importance,Absolute
RoamingCalls,0.4514841672880009,0.4514841672880009
CustomerCareCalls,0.2314865812834455,0.2314865812834455
Handsets,0.1928893773098064,0.1928893773098064
RVOwner,0.02006550124832253,0.02006550124832253
ReferralsMadeBySubscriber,0.017530808238375436,0.017530808238375436
NonUSTravel,0.016301661050902774,0.016301661050902774
OwnsComputer,0.013637667405292072,0.013637667405292072
HandsetRefurbished,0.012750743916155901,0.012750743916155901
MadeCallToRetentionTeam,0.012425939295200437,0.012425939295200437
Homeownership,0.012306640013347284,0.012306640013347284
Occupation_Clerical,0.006960012429425148,0.006960012429425148
Occupation_Retired,0.005499428369209963,0.005499428369209963
Occupation_Student,0.00378118108975374,0.00378118108975374
Occupation_Homemaker,0.0028802910627620877,0.0028802910627620877
